AMF_inoculum,Bacterial_treatment,Replicate,Leaf_number,Height_cm,Shoot_biomass_g,Root_biomass_g,Total_biomass_g,Spore_density_ind_10g_soil,Mycelium_density_m_g_soil,Total_root_length_m,Root_diameter_mm,Frequency_of_mycorrhiza_%,Colonization_intensity_%,Arbuscule_abundance_%,Vesicle_abundance_%
CK,NW,1,7,78.9,1.341,0.311,1.653,17,0.296,4.352,0.561,30,4.85,4.655,0.323
CK,NW,2,5,53.3,0.876,0.151,1.027,12,0.271,2.133,0.658,30,3.4,3.055,0.793
CK,NW,3,7,63.4,1.651,0.347,1.998,16,0.148,4.28,0.611,45,13.15,13.005,1.753
CK,NW,4,6,58.9,1.071,0.263,1.334,13,0.321,2.527,0.692,30,0.5,0.175,0.042
CK,NW,5,7,70.3,2.05,0.437,2.487,14,0.311,7.261,0.624,38.333,9.46,9.213,1.15
CK,NW,6,10,96.8,5.331,1.093,6.424,10,0.518,23.013,0.599,56.667,25.4,25.173,2.839
H,NW,1,10,85.8,4.978,0.851,5.829,33,0.954,8.268,0.834,93.333,29.7,23.05,12.623
H,NW,2,10,86.2,4.002,1.108,5.11,37,0.987,7.069,0.985,80,26.333,22.47,3.84
H,NW,3,10,85.1,4.73,0.832,5.562,31,0.825,5.25,1.056,83.333,31.233,30.19,9.495
H,NW,4,10,85.4,4.423,0.885,5.307,40,1.1,9.475,0.842,84.333,30.577,28.175,7.521
H,NW,5,13,98.2,5.999,1.248,7.247,40,0.732,22.205,0.592,80,42.067,41.95,6.661
H,NW,6,8,71.5,2.39,0.397,2.787,57,0.765,4.583,0.743,85,23.55,23.215,4.987
H,W,1,12,99.9,5.007,1.377,6.384,36,1.082,26.744,0.597,83.333,27.833,27.423,2.449
H,W,2,12,94.3,4.958,1.269,6.227,32,1.159,11.465,0.799,76.667,22.067,21.68,2.111
H,W,3,10,95.4,3.299,0.92,4.219,50,1.003,8.175,0.793,93.333,47.4,47.183,6.433
H,W,4,11,120.2,4.782,0.88,5.662,42,1.173,12.416,0.744,80,25.167,24.607,2.517
H,W,5,10,107.4,5.204,1.109,6.313,41,0.908,20.928,0.581,86.667,23.933,22.017,4.142
H,W,6,12,134.1,6.412,1.218,7.63,40,1.109,15.49,0.711,83.333,31.933,31.467,5.365
BC1,NW,1,13,111.1,7.342,1.872,9.214,42,0.888,24.602,0.745,90,46.233,46.087,22.432
